word,pronunciation,word_type,definitions,examples,pl
akuu,àkúú,interj,,"Akuu, ta ko ma, N koŋ toɔ̂ a tuori tuo. Ei, don’t kill me; I can’t carry the load. Ala [álà] n. God",
ala,álà,interj,,"Ala, a dɔɔ ŋa naane so a woɔ. I swear, the bag does not belong to this man.",
alaakosebaroo,àláákosɪbárʊ́ ́ʊ́,interj,,,
ale,álɪ,,,"Ka fooŋ ba ale a fenetere, o koŋ kpɛ a fo nubiri. If you don’t open up the ring you can’t put it on your finger. alɛɛ, alla, alla, aleba, allaa",
alee,àléé,part,,"A bibiiri naŋ di a bondirii baare la ka ba ba yeli ka alee, ka ba wa yi gaa sakuuri. When the children had finished eating, their father ordered them to go to school at once.",
aleɛma,àlɪɛ́ mà,,,,
alɛ,álɛ̀,interj,,"Alɛ, fentel diglii ka fo deɛnɛ ne? Whoa, you’re playing with electricity?",
aloo,álòó,interj,,,
aloopelee,álóópèléè,n,,,
aloopeleeduoraa,álóópèléédúóráà,n,,,
ama,àmá,conj,,"A bɔlŋmeɛrebɛ mɔɛ la ama ba ba di. The football players played well, but they did not win.",
ama,ámà,pron,,A dogere ama daaroŋ tuo. These pots are expensive.,
ambaŋenaa,ámbáŋɪnáá,,,,
Ameleka,ámɪlɪ́ kà,,,,
aminekaŋa,àmínékàŋá,adv,,Aminekaŋa o koŋ wa pampana. Perhaps s/he will not come now. (2) sometimes,
amma,ámmá,conj,,"A bie zoro to, amma soɔŋaa. The boy runs really fast, much faster than the hare.",
ammeseɛrɛ,ámmɪsɪ̀ ɛ́ rɛ́ ̀,n,,Fo taa la ammeseɛrɛ ne fo naŋ toŋ a toma. I am thankful to you for doing the work. 2,
ammine,ámmìné,pron,,,
ampe,ámpé,n,,,
ana,áná,pron,,Ana ka te na wuo. We’ll collect those.,
anaare,ànáárɪ,conj,,O naŋ taa libie ananso ka o ba mɛ yiri. S/he built a house because s/he has money. Var. ana la so,
ananso,ánánsʊ́,n,,A fo toma zagere gaabo ananso la wola? What is your reason for refusing to go to work?,
anaŋ,ánǎŋ,pron,,Te na iri la anaŋ naŋ sãa te wuli a boŋkoɔrɔ. We’ll select the ones that are bad and show them to the seller.,
anaŋ,ánáŋ,pron,,"Ka anaŋ waa lɛ, ta di a seemaa. If that is the case, don’t eat the food.",
andonɛɛ,ándʊ́nɛɛ́,,,"Andonɛɛ waa la yɛloŋ. The world is large. (2) people of the world, Andonɛɛ ba baŋ ka a wono ba mine. People of the world do not know that some people are suffering.",
ane,ànɪ,,,Dɛre ane,
aneazaa,ánɪázàá,,,"Aneazaa ka saa ba miire kyɛ kõɔ naŋ be la a baa poɔ. Even though it has not been raining, there is still water in the pond.",
aneɛ,ánɪɛ́ ̀,n,,A tontonema da erɛ la aneɛ na baare a toma kyɛ ka saa ba sage. The workers tried to finish the job but the rain would not allow them.,
anesɛ,ánɪsɛ́ ̀,adj,,"Anesɛ, kpeɛrɛ waana. Welcome, come in!",
angyoɔso,ándzʊ̀ ɔ̀sʊ́,n,,Fo taa la angyoɔso ne a kyɔɔtaa fo naŋ ko ma. Accept my thanks for the gift.,
anii,àníì,adj,,,
anlee,ánléé,n,,,
ansaŋ,ánsáŋ,conj,,Vɛŋ ka saa mi ansaŋ ka fo bore a kamaana. Let it rain before you sow the maize.,
ansiŋinee,ánsíŋínéé,n,,,
ansoɔnee,ánsʊ́ɔ́nɪɪ́,,,,
antere,ántèré,n,,,
anuu,ànúú,adj,,,
anwoŋ,ánwóŋ,n,,,
aŋ,ǎŋ,adj,,"Ka fo wa gɛrɛ a libidaana na yiri, aŋ baŋ ne baare. If you are going to that rich man’s house you’d better beware of the dogs.",
aŋ,áŋ,pron,,Aŋ la ba nɔŋ bompaala? Who does not like new things?,
aŋa,áŋá,n,,"Aŋ la wa a kyɛ? Aŋa la wa. Who came here? No one. (Why do you care?) aŋa [àŋá] adv. like, O kono la aŋa bibile na. S/he cries like a baby.",
aŋgaara,áŋgáárá,adj,,A kyeɛ zo kpɛ la a mɔ-aŋgaara poɔ. The squirrel has escaped into the stalky bush.,
aŋgeli,áŋgélí,n,,,
aŋgoɔle,áŋgʊ́ɔ̀lɪ,,,"Ba aŋgoɔle la a naa wiri. They have decorated the chief’s horse. aŋgoɔlɛɛ, aŋgoɔlɔ, aŋgoɔlɔ, aŋgoɔleba, aŋgoɔlaa",
aŋguoŋaa,áŋgúóŋáà,n,,,
aŋkaa,àŋkàá,n,,,
Aŋkara,àŋkàrà,n,,,
aŋko,áŋkò,n,,,
aŋkorɔ,áŋkʊ̀ rɔ́,n,,,
ão,ã̀ʊ̀̃,interj,,A. Fo na kuli la be? B. ão. A. Will you go home? B. Of course I willl.,
apa,ápà,interj,,"A soɔŋaa muri la a baa bare kyɛ zo, apa. The rabbit dodged the dog and escaped, what a pity. Var. aparapa",
aparapa,ápárápà,interj,,"Aparapa, a soɔŋaa ŋa meŋ la zoe? Oh no, this hare too has escaped? Var. apa",
ara,àrá,adj,,A pɔge ara kyɛ daa la a dɔɔlee eŋ tambɔgeŋ. The woman gathered up her courage and pushed the man into a ditch.,
arambiri,árámbírí,n,A dɔɔta yeli ka a baala arambiri kaŋa sãaɛ la. The doctor said one of the patient’s kidneys had failed. sg: arambiruu,,
are,árɪ,,,N are la Kusielee. I am maternally related to the,
are,àrɪ,,,,
are,árɪ,,,"A maŋgo wɔŋ zue la ka a ulee kaŋa are le. The mango tree has borne so many fruits that one of the branches tore off. arɛɛ, ara, ara, areba, araa, areba",
areba,árɪbá,,,,
arekpoŋ,árɪkpóŋ,,,,
arelee,árɪlèé,,,,
aremateke,àrɪmátɪ́ kɪ́,,,,
arezie,àrɪzíé,,,"O arezie kpoŋ. S/he holds a high position. (3) position, stand (for or against an idea), O ba wuli o arezie a nɔkpeɛne poɔ. She has not indicated her position with regard to the argument.",
aroozie,árʊ́ʊ́zíé,n,,,
aseŋ,àsɪŋ,n,,,
ata,átà,adj,,,
awae,àwáɪ,,,,
awola,àwʊ́là,n,,"Awola ka fo da a kparoo? How much did the shirt cost you? (2) how many (nonhuman), Teere awola ka yɛ sɛle? How many trees did you plant? awommu [àwómmú] n. hardship, suffering, Ka kɔŋeŋ le awommu maŋ pɔge la noba yaga. When there is a famine, many people experience a lot of suffering. 2",
awulo,áwúló,n,,A pɔge na bie naŋ kpi la lɔɔrɔ awulo. The woman who lost her son is crying hysterically. 2,
ayililili,áyílílílí,interj,,"A pɔgeba ŋmɛ la kulinni, ayililili, eŋ a bawaseɛrebɛ. The women made shrill noises of commendation for the dancers. Var. ayiyiyiyi",
ayoɔbo,àyʊ̀ ɔ̀bʊ́,adj,,,
Ayoree,áyóréé,n,,,
Ayɔɔ,áyɔ̀ɔ̀,n,,,
ayɔpõĩ,àyʊ̀ ɔ̀pṍĩ,,,,
Ayuo,áyúó,n,,,
Azaasoba,àzàásʊ́bá,n,,,
ba,bá,adv,,N ba nyɛ o zenɛ. I have not seen him today.,
ba,bà,pron,,"Ba na wa la. They will come. (2) their (3rd person possessive human), Te de la ba bondirii biŋ. We have reserved their food. (3) them (human), Te de la a bondirii ko ba. We have given them the food. ba [bà] v. to fix a pointed object firmly in the ground, Ba ba la daare gɔlle a dabɔgɔ zaa. They have put up planks around the whole garden. baɛ, baara, baara, bareba, baaraa",
ba,bà,v,,A saana de la a kõɔ ba lɛɛ ka a ŋmane wa te kyɛre.,
ba,bá,v,,,
ba,bâ,n,,,
baa,báà,conj,,"Te na gaa la, baa wolɔ? We’ll go, won’t we? Var. bee",
baa,báá,n,,,
baa,báá,n,,,
baa,báá,n,,,
baa,bàá,n,,,
baa,bàà,v,,"Sẽɛ saŋa, moɔ maŋ baa la wogiri lɛ. During the rainy season, grass normally grows tall. (2) to mature, A pɔgelee naŋ ba baa azuiŋ o ba ta serɛ kuluu. The girl has not yet matured enough, so she is not marriageable. (3) to survive, to live, A baala naŋ ba kpi zenɛ o na baa la. Since the patient has not died today, s/he will survive. baa, baaɛ, baara, baara, baaraa, baabo",
baabaa,bààbáá,n,,,
Baabol,báábʊ̀ l,n,,,
bãabõo,bã̀ã̀bʊ̃́ʊ̃́,n,,,
baaebaae,bááɪbááɪ́,,,,
baala,bààlá,n,,,
baalaa,bààlàà,adj,,"N da nyɛ la pɔgebil baalaa kaŋa a seɛre zie. I saw a slender girl at the dance. (2) narrow, A sori waa la baalaa lɛ. The road is very narrow.",
baale,báálɪ,,,"Ka maaŋ iri ba gaa bangyeraa n poɔ maŋ baala la. If I don’t go to the toilet for the day I normally have a slight stomachache. baalɛɛ, baala, baala, baaleba, baalaa",
baale,báálɪ,,,"A pɔge baale iri la a seŋkãabie yi a pɛgere poɔ. The woman separated the groundnuts from the shells. baalɛɛ, baala, baala, baaleba, baalaa",
baalebayiri,bààlbáyírì,n,,,
baalimbo,bààlímbò,n,,Ba kpɛ la a baala baalimbo gaa ne a asibiti. They supported the patient by the midsection and took him to the hospital.,
baalombiri,bààlʊ́mbírì,n,,,
baalomboɔlaa,báálʊ̀ mbʊ̀ ɔ̀làá,n,,Te daare gaa la baalomboɔlaa Loraa poɔ. We attended a friendship feast in Lawra.,
baalonlɔnnaa,bààlʊ̀ nlɔ́nnáá,n,,,
baalonnooraa,bààlʊ́nnʊ̀ ʊ̀ ráà,n,,,
baaloŋ,báálʊ́ŋ,n,,Ba nyɔge la baaloŋ saŋa zaa. They have been friends for a long time.,
baaloŋ,bààlʊ́ŋ,n,,A baala baaloŋ seɛ o la zenɛ.The patient’s illness has improved today.,
baaloŋ,bààlʊ̀ ŋ,adj,Bɛnzɔŋ maŋ waa la baaloŋ. Bean flour is usually smooth. baalugiri [bààlùgìrí] n. armpit sg: baalugiruu,"Zenɛ, a mane kõɔ̃ e la baaloŋ. Today, the sea is calm. (2) gentle, gently, A doɔ baaloŋ na wa la kyɛ. That gentle man came here., A doɔ wa la baaloŋ. The man is gentle., De a bileɛ baaloŋ. Take the baby gently. (3) soft (objects, sounds), A kapuro ŋa e la baaloŋ yelmeŋɛ. This pillow is really soft. (4) smooth (powdery substances)",
baaluu,bààlúú,n,,,
ŋmaaŋa,bàá-nɪ-́ ŋmááŋà,n,,,
baapɛmpɛle,bàápɛ̀mpɛlɛ́ ̀,n,,,
baaraa,bááráá,n,,"A baaraa zaa te na nyɛ la a nannyige. At the end of it all, we will find the thief. baaraakyi [báárááʧì] n. bridge",
baare,báárɪ,,,"A tontonema baare la a toma. The workers have finished the work. (2) to be used up, A baaloŋ vɛŋɛɛ la ka a dɔɔ bɛroŋ na baare la o zaa. Sickness has caused that man to lose weight. baarɛɛ, baara, baara, baareba, baaraa",
baasaabiri,bààsààbírí,n,,,
Baasaale,bàásààlɪ,,,,
baasakuuri,báásàkúúrì,n,,,
baataŋaa,báátáŋáá,n,,,
babammo,bábámmʊ́,n,,,
babaŋyeli,bábàŋyélí,n,,,
babẽe,bàbɪɪ̃́,,,,
babeɛ,bábɪɛ́,,,,
babeɛraa,bàbɪɛ̀ ráà,,,,
babere,bàbɪrɪ̀,,,,
babini,bàbíní,n,,,
babiŋ,bábíŋ,n,,,
babiri,bábírì,n,,,
babogi,bàbógí,n,,,
babullaa,bàbùlláà,n,,,
nyoɔre,bàdáádíɲɛʊ́ɔ́rɪ,,,,
badalane,bàdàlánɪ,,,,
badalee,bàdàléé,n,,,
badavaraa,bàdàváràà,n,,,
badɛre,bádɛrɪ́,,,,
badie,bàdìé,n,,,
badoge,bàdʊ̀ gɪ,,,,
badɔgerɔ,bàdɔ̀grɔ́,n,,,
bafoɔlaa,bàfʊ́ɔ́láá,n,,,
baga,bágà,n,,,
baga,bàgà,n,,Ka onaŋ ba wa a pɔgebeɛloŋ kyɛ n baga kyebe. I don’t care if s/he doesn’t attend the wedding.,
baganaa,bàgànàà,n,,,
bagane,bàgánɪ,n,,,
bagao,bàgáʊ̀,n,,,
bageba,bágɪbá,,,,
bageboge,bàgɪbʊ̀ ̀ gɪ,,,Kiritabiiri kyiiruŋ la bageboge. It is a taboo for Christians to participate in divining. Var. bɔgeboge,
dagoli,bàgɪbʊ̀	̀ g-dàgólí,,,,
karaa,bàgɪbʊ̀ ̀ g-kàràá,n,,,
woɔ,bàgɪbʊ̀ ̀ gɪ-̀ wʊ́ɔ́,n,,,
bagukyɔfeɛle,bágùʧɔ̀nfɪɛ́ lɪ́,,,,
baguo,bágúó,n,,,
bagupi,bàgùpí,n,,,
bagupipi,bágùpípí,n,,,
bagbɛre,bàgbɛrɪ́,,,,
bagbɛre,bàgbɛrɪ́,,,,
bagboŋ,bágbòŋ,n,,,
bagbori,bàgbòrí,n,,,
bagyeɛnɛ,bàdzɪɛ̀ ̀nɛ,,,,
bagyoɔ,bàdzʊ́ɔ́,n,,,
bagyɔroo,bàdzɔ̀rʊ́ʊ́,n,,,
irime,bá-írímé,n,,,
bakana,bàkáná,n,,,
bakore,bákʊ́rɪ,,,,
bakɔ,bàkɔ̀,n,,,
bakpoŋ,bàkpóŋ,n,,,
balaa,báláà,n,,,
balambaaraa,bálámbááráá,n,,,
balambiri,bálámbírí,n,,Wɔɔ waa la kpoŋi balantamm. The elephant is enormously large.,
balante,bálántɪ,,,,
bale,bàlɪ,,,"O toŋ la a toma te zuo lɛnso ka o bale. He has overworked himself; that’s why he is tired. (2) to be fed up, Bebiri zaa ka o maŋ wa sɔre libie, maa eŋ bale la o yɛlɛ. He comes to beg for money every day; I’m fed up with him. (3) to be weak, Ka neɛŋ kore o maŋ bale la. One becomes weak when one is old. (4) to be soft, A gane koe la, yɛ mere kõɔ ka o bale. The animal skin is dry and hard, so sprinkle water on it to make it soft. balɛɛ, balla, balla, baleba, balaa, baleba",
bale,bálɪ,,,"Dagaaba bale kaŋa yuori la Kowɛrɛɛ. Kowɛrɛɛ is one of the tribes among the Dagaaba., O daare to ma lɛnso ka o maŋ wa nyɛ ma bale. She insulted me the last time, and that’s why she avoids me when she sees me. (2) divert, Ba naŋ da beɛrɛ a baa ba bale la a sori. When they were con-",
bale,bálɪ,,,A toma ŋa bale ba kye kyɛ. We do not have his kind of work here.,
balee,bàléé,n,,,
balee,bàléé,n,,,
balee,bàlɪɪ̀,n,,Pɔge koŋ sage toŋ tombalee ŋa tɔ. A woman will not do this sort of shady thing. baleŋkpɔgre [bàlɪŋkpɔ́ ̀grì] n. tick,
balɔre,bálɔ́rɪ,,,,
balɔrroŋ,bálɔ̀rrʊ́ŋ,n,,,
bam,bǎm,n,,,
bama,bámà,pron,,"A noba bama la maŋ toŋ a toma wiẽu. These are the people who normally do the work quickly., Bibiiri bama la ka ba iri. These are the children that have been chosen.",
bambaala,bàmbààlá,n,,,
bambaalaa,bámbááláá,n,,,
bambalaaraa,bámbálááráá,n,,,
bambaŋ,bámbáŋ,adv,,"A zee, re ba taa diibu, a toloŋ bambaŋ. The soup is too hot; it can’t be eaten., Tentoloŋ saŋa a ŋmenaa maŋ toloŋ bambaŋ. During the hot season, the sun is always extremely hot.",
bambiŋi,bàmbìŋ,n,,,
bambugo,bámbúgó,n,,,
bambuŋi,bàmbúŋ,n,,,
bambuŋi,bàmbúŋ,n,,,
bamm,bàmm,adv,,A nannyige zu mɔrɛɛ bamm lɛ.,
bammo,bàmmʊ́,n,,,
bamoɔ,bàmʊ́ɔ́,n,,,
bandaa,bándáá,n,,,
bandaakpogilo,bàndáákpóglò,,,,
bandakarekpele,bàndàkárkpɪlɪ́,,,,
bandakarema,bàndàkàrɪmà,,,,
bandanyene,bàndàɲɪnɪ́,,,,
bandapoleɛne,bàndàpʊ́lɪɛ́ nɪ́,,,,
bandazeɛraa,bàndàzɪɛ̀ ráá,,,,
bandazoore,bàndàzʊ́ʊ́rɪ,,,,
banfane,bànfánɪ,,,,
bangye,bándzɪ,,,,
bangyeraa,bándzɪráá,,,"Pampana ka fooŋ mɛ yiri a seŋ ka bagyeraa bebe. Modern houses are supposed to have built-in washrooms. (2) feces, A bie nyɛ la bini meele a sɛŋ. The child has soiled the mat with feces.",
anaare,bà-nímíè-ànàárɪ,,,,
bantakperee,bàntákpérèé,n,,,
bantoɔ,bántʊ́ɔ́,n,,,
banweebaa,bànwɪɪ́ báá,,,,
banzeɛ,bànzɪɛ̀ ̀,n,,,
banzeɛraa,bǎnzɪɛ́ ráá,,,,
banzɔlɔ,bànzɔ̀lɔ̀,n,,,
banyaa,bàɲáà,n,,,
banyagere,bàɲágrɪ,,,,
banyaŋaa,bàɲáŋáá,n,,,
Banyene,bàɲɪnɪ̀,,,,
Banyenɛɛ,bàɲɪnɛ́ ɛ́,,,,
banyɛtɔgle,báɲɛtɔ́glɪ,n,,"Bibiiri taa la banyɛtɔgle, azuiŋ neŋkponni seŋ ka ba taa ba menne velaa. Children like to immitate, so adults should behave well. baŋa [báŋá] n. bangle",
baŋa,bàŋá,n,,,
baŋe,bàŋ,v,,"N baŋe la a pɔge ŋa serɛ, o yuori la Dabuo. I know this woman’s husband; he is called Dabuo. (2) to be aware of, N baŋe ne la o waabo. I know he’s coming. baŋɛɛ, banna, banna, banema, bannaa, banema",
baŋena,bàŋɪná,,,,
baŋenaa,báŋɪnáá,,,,
baŋene,bàŋɪnɪ̀,,,"Nannyige maŋ taa la baŋene, ka o nyɔgebo maŋ e tuo. A thief usually has such cleverness that it is difficult to catch him. Var. bɔŋene",
baŋgori,báŋgórí,n,,,
baŋkaroŋ,bàŋkàrʊ́ŋ,n,,,
baŋkoroŋ,bàŋkʊ́rʊ́ŋ,n,,,
baŋŋmeɛle,bàŋŋmɪɛ́ lɪ́,,,,
ɔge,bà-ɔ̀gɪ,,,,
bapare,bápárɪ,,,,
bapare,bàpárɪ,,,,
bapiiraa,bàpííráá,n,,,
bapimbaare,bápímbáárɪ,,,,
bara,bárá,n,,"Dakoraa naŋ baŋ ka dɔɔ zaa kye a yiri poɔ la so ka o wa fare a bara ama taaba. Knowing that all the men had left the house, Dakoraa went to make boastful threats.",
baraa,báráá,n,,,
bare,bàrɪ,,,"Ba bare la sakubiiri. They have let the schoolchildren go for vacation. (2) to discontinue, to abstain, to cease, to stop, A baala bare la a dɔɔta gaabo. The patient has stayed away from the hospital. (3) to divorce (initiated by husband)",
bare,bàrɪ,,,,
barekanneɛbaa,bàrɪkánnɪ̀ ɛ́ báá,,,,
barre,bárrɪ,,,,
sakɔre,bà-sakɔrɪ,,,,
basasale,bàsàsàlɪ,,,,
soɔmee,bà-sʊ́ɔ́mɪɪ́,,,,
bataabo,bátáábʊ́,n,,,
batara,bátárá,n,,,
batuo,bátúó,n,,,
bavilime,bàvílímé,n,,,
bawaa,báwáá,n,,,
Bayaayiree,báyààyíréé,n,,,
Bayaayiri,báyààyírí,n,,,
Bayuo,báyúó,n,,,
bazẽe,bàzɪɪ̃́,,,,
bazele,bàzɪlɪ̀,,,,
bazoɔ,bàzʊ́ɔ̀,n,,,
bazoraa,bàzóráà,n,,,
bazugiri,bázúgrí,n,,,
be,bě,v,,"A baala be la asibiti poɔ. The patient is in the hospital. bee, bere, bere, beribe, beraa, beribe be nimiri to be awake, to be alert",
be,bě,loc,,N ba nyɛ fo be. I did not see you there.,
be,bɪ,,,"A nɛne ba be, o varema. The meat is not well boiled, it is hard. (2) to be smooth (flour), A mansinni ɛre la a bɛnzɔŋ ka a be. The machine has ground the bean flour very smooth. (3) to mature, to ripen (fruit, millet), Ka taŋaaŋ wa be o maŋ pɔre le la.",
be,bɪ,,,Fo na gaa la be?,
bebe,bèbé,adj,,,
bebelaa,bɪbɪ́ láá,,,Noba yaga da be be la kyɛ ka Naa wa. There were many people present when the Chief came. bebelaa [bɪbɪ́ láá]́ n. termite hill,
bebelebiri,bɪbɪ́ lɪ̀ bírì,,,,
beberaa,bébéráà,n,,,
beberee,bébéréè,n,,,
beberiyɛlɛ,bébèrìyɛlɛ́,,,,
beberuŋ,bébérúŋ,n,,,
bebibaaraa,bèbíbááráá,n,,,
bebibalaa,bèbíbàlàà,n,,,
bebidɛŋe,bèbídɛŋ,,,,
bebifaa,bèbífáá,n,,,
bebigbuli,bèbígbùlì,n,,,
bebikore,bèbíkʊ́rɪ,,,,
bebipaalaa,bèbípááláá,n,,,
bebiri,bèbírì,n,,,
bebisaana,bèbísááná,n,,,
bebisoŋ,bèbísʊ́ŋ,n,,,
bebitɔɔre,bèbítɔ̀ɔ̀rɪ,,,,
bebivuo,bèbívúó,n,,,
bebiyeni,bèbíyéní,n,,,
bee,bèé,adj,,O bee be. S/he is there. Var. be; be,
bee,bɪɪ́,,,O gaaɛ la bee o,
bẽe,bɪɪ̃́,,,,
beele,bɪɪ́ lɪ́,,,,
beele,bɪɪ́ lɪ́,,,,
beene,bɪɪ́ nɪ́,,,,
beene,bɪɪ́ nɪ́,,,,
beene,bɪɪ̀ nɪ̀,,,,
beere,bɪɪ̀ rɪ̀,,,,
beɛ,bɪɛ̀ ̀,v,,,
beɛ,bɪɛ̀ ̀,v,,"A nɛŋŋmaara beɛ la a nɛne eŋ a doge poɔ. The butcher sliced the meat and put it into the pot. beɛɛ, beɛrɛ, beɛrɛ, beɛrebɛ, beɛraa, - Var. beɛle",
beɛ,bíɛ,,,,
bẽɛ,bɪɛ̃́ ̀̃,n,,,
beɛbeɛ,bɪɛ́ bɪ́ ɛ́,,,,
beɛle,bɪɛ̀ ̀lɪ,,,,
beɛle,bɪɛ̀ ̀lɪ,,,,
beɛlɛbeɛlɛ,bɪɛ́ lɛ́ bɪ́ ɛ́ lɛ́,,,,
bẽɛo,bɪɛ̀̃ ̀̃ʊ̃́,n,,,
beɛre,bɪɛ́ rɪ́,,,,
beɛre,bɪɛ́ rɪ́,,,,
beɛre,bɪɛ̀ ̀rɪ,,,,
bege,bɪgɪ̀,,,,
bege,bɪgɪ̀,,,,
begebinne,bɪgɪ̀ bínné,,,,
duoraa,bɪgɪ̀	bíŋ-duoraa,,,,
begere,bɪgɪ̀	rɪ̀,,,,
belaa,bɪláá,,,,
belaa,bìláà,pron,,Belaa ka fo erɛ? What are you doing?,
belaa,bɪláá,,,"A laa poɔ bondirii waa la belaa lɛ. The amount of food is very small., Zenɛ a tontonema waa la belaa. Today the workers are few. (2) short while (time), Vɛŋ ka belaa ka fo gaa. Wait for a short while before you go.",
bele,bɪlɪ́,,,,
benee,bènéé,adv,,,
bennɛ,bɪnnɛ́,,,,
benni,bénnì,v,,,
bentere,bɪntɪ̀	rɪ́,,,,
beo,bɪʊ̀ ̀,adv,,,
bere,bɪrɪ́,,,,
bere,bɪrɪ̀,,,,
bere,bɪrɪ̀,,,,
bere,bɪrɪ̀,,,,
berebaaraa,bɪrɪ̀ bááráá,,,,
berekaroo,bɪrìkàrʊ̀ ́ʊ́,n,,,
berekuuri,bìrɪkúúrí,,,,
berekpulo,bɪrɪ̀	kpúló,,,,
beremɛ,bɪrɪ́ mɛ́,,,,
berenɛmɛ,bɪrɪ̀	nɛ̀	mɛ́,,,,
berenoɔ,bɪrɪ̀ nʊ̀ ́ɔ̀,n,,,
berenoɔre,bɪrɪ̀	nʊ̀	́ɔ́rɪ,,,,
berese,bɪrɪ̀ sɪ̀,,,,
berewoɔ,bɪrɪ̀	wʊ̀	́ɔ́,n,,,
bereyɛre,bɪrɪ̀	yɛ̀	rɪ́,,,,
berɛ,bìrɛ,,,"O berɛ ŋa zie da koŋ nyaa. S/he wished day would never come., O berɛ ona la da na gaa a tigiri. S/he wished s/he would be the one to attend the feast. (2) take by surprise, O berɛ ka saana la wa kpɛ. Before he realized it, a stranger arrived. berondɔndɔre [bɪrʊ̀ ́ndɔ̀ndɔ̀rɪ]́ n. cur-",
beroŋ,bɪrʊ̀ ́ŋ,n,,,
berroŋ,bɪrrʊ̀ ́ŋ,n,,,
bɛ,bɛ̀,v,,"Ka saaŋ poɔ a bie o na bɛ la. If the child is out in the downpour he will get sick. bɛɛ, beɛrɛ, beɛrɛ, beɛrebɛ, beɛraa, beɛrebɛ",
bɛ,bɛ̀,v,,"Ka fooŋ ba bɛ a peɛ voɔre ka saaŋ wa miire a die na kyire la. If you do not patch the hole in the roof, the room will leak when there is rain. bɛɛ, beɛrɛ, beɛrɛ, beɛrebɛ, beɛraa, beɛrebɛ",
bɛ,bɛ,,,A libie bɛ? Where is the money? Var. bɛɛ,
bɛbɛgere,bɛ̀bɛgrɪ̌,,,,
bɛɛ,bɛɛ́ ̀,pron,,A libie bɛɛ? Where the hell is the money?,
bɛɛɛ,bɛ̀ɛɛ́ ̀,n,,,
