"Zimanee gogori anuu saŋ","The eleventh hour"
"Nanyigiri die(Nanyigi baa)","Den of thieves"
"Peɛle eelɛ (fara bara)","Sounding your trumpet"
"Balaŋ naŋ voɔ a soɔ na bɔrewɛ la a soɔ eŋɛ","He who lives by the sword dies by the sword."
"A kuuri na mɛmeɛrebɛ naŋ zagre, waa la a goŋgonaazukuuri","The stone which the builders rejected, the same became the head of the corner."
"Kyɛ a sobiri naŋ gɛrɛ a Nyɔvore zie ne a be dendɔre e la bile.","Straight and narrow."
"Dagaare","Translation"
"Neɛ ba maŋ de pɛmpaala a liiri ne kparekora.","No man seweth a piece of new cloth on an old garment."
"Samaria Dɔɔvelaa (Nensoŋ bie)","Good Samaritan"
"Voore O vooroŋ pare baara.","He gave up the ghost"
"Dire, nyuuro, a nyɛrɛ popeɛloŋ","Eat, drink and be merry"
"Nyɛrɛ a kyaane","See the light"
"Ta bale","Not lose heart"
"Yirikangzaanang pong kyaare ne o mengena le la","Divided we fall"
"Tuo dagara","A cross you have to bear"
"Kaara lɛ nensaala naŋ waa kyɛ dire o sarɛɛ","Don’t judge by appearances"
"A soba na naŋ ba taa yelbieri zaa a yɛ poɔ, yɛ vɛŋ ka o de weɛ de kuurii za...","Cast the first stone."
"Yɔ-ŋmaabo e la sukyiri bone.","Circumcision of the heart"
"De fo nyɔvore ko","Risk your neck"
"A nimiri zaŋbo poɔ","Twinkling of an eye"
"Goɔ da kyɔge ma la","A thorn in the flesh"
"Ye le la yi a nɔndeteroo sobiri poɔ","Fall from grace"
"Bon na neɛ naŋ bore, onɔ la ka o meŋ na kyɛ (Neɛ zaa waseɛroŋ maŋ o nuore).","Whatever a man soweth, that shall he also reap."
"Bonso libie nɔmmo la a yelfaa eroŋ yaga piilu zie.","The love of money is the root of all evil."
"Kŏɔnoɔ ane kŏɔtuo na tŏɔ bullo yire la ziyenaa bee? N yɔɔ mine, kaŋkaŋteɛ natŏɔ wɔŋ la ɔlevewɔmɔ bee? Ora na tŏɔ wɔŋ la kaŋkama?","Does a fountain send forth at the same place sweet water and bitter…Can a fig tree bear olive berries?"
"Dagaare","Translation"
"Bille mɛmɛrɛ poɔ","Wallowing in the mire."
"Tuori","God speed"
"Ba waa maaroŋ bee toloŋ","Lukewarm"
"Poore bare","Spew out"
"Dagaare","Translation"
"Bónè","Thing"
"lááné","worthless"
"Bón-lááné","A worthless thing"
"Bónè","Thing"
"léé","small"
"Bón- léé","A small thing"
"Bónè","Thing"
"páálà","new"
"Bón-páálà","New things"
"Bónè","Thing"
"mááróng","wet"
"Bón-mááróng","A wet thing"
"Bèbír","Day"
"sóng","good"
"Bèbí-sóng","Good day"
"nóɔ́rè","Mouth"
"fáá","bad"
"nɔ́-fáá","Rudeness"
"nóɔ́rè","Mouth"
"nòɔ́","sweet"
"nɔ́-nòɔ́","Convincing"
"dɔ́ɔ́","Man"
"léé","small"
"dɔ̀ɔ̀-léé","Small boy"
"néɛ̀","Person"
"fáá","bad"
"Néng-fáá","Bad person"
"Bìé","Child"
"fáá","bad"
"Bì-fáá","Bad child"
"Pììrí","Rock"
"fáá","bad"
"Pì-fáá","Bad rock"
"Kùùrí","Hoe"
"fáá","bad"
"Kù-fáá","Bad hoe"
"góɔ̀","Thorn"
"fáá","bad"
"Gó↑-fáá","Bad thorn"
"Póɔ̀","Stomach"
"fáá","bad"
"Pò-fáá","Wickedness"
"nʊ́ɔ́rɪ̀","Mouth"
"fáá","bad"
"nɔ́!-fáá","Bad mouth"
"Dòbáá","Pig"
"faa","bad"
"Dòbà-fáá","Bad pig"
"gbɛ́rɪ̀","Leg"
"fáá","bad"
"gbɛ́-!fáá","Ill luck"
"Báá","Dog"
"léé","small"
"Bà-leé","Puppy"
"Bàá","River"
"kpóǹg","big"
"Bà-kpóǹg","Large river"
"Báá","Dog"
"zèlé","tongue"
"Bà-zèlé","The tongue of a dog"
"Dagaare","Translation"
"Bèbírì","Day"
"tɔ̀ɔ̀ré","far"
"Bèbí-tɔ̀ɔ̀ré","A distant date"
"bɛ́ngɛ̀","Beans"
"kórɔ́","old"
"bɛ́ng-kórɔ́","Old beans"
"Bìé","Child"
"sòńg","good"
"Bì-sòńg","A good child"
"Bóɔ́","Goat"
"léé","small"
"Bò-léé","Little goat"
"Bóndìríì","Food"
"káráá","raw"
"bóndì-káráá","Raw food"
"Bónè","Thing"
"fáá","bad"
"Bón-fáá","A bad thing"
"Bónè","Thing"
"fẽ́e͂́","small"
"Bón-fẽ́e͂́","A small"
"Bónè","Thing"
"kyɛ́léé","half"
"Bón-kyɛ́léé","A half thing"
"Bónè","Thing"
"nòɔ̀","sweet"
"Bón-nòɔ̀","A sweet thing"
"Bónè","Thing"
"sààlàá","smooth"
"Bón-sààlàá","A smooth thing"
"Bónè","Thing"
"sààlóng","slippery"
"Bón-sààlóng","A slippery thing"
"Bónè","Thing"
"sáánà","strange"
"Bón-sáánà","A strange thing"
"Bónè","Thing"
"vèláà","good"
"Bón-vèláà","A good thing"
"Bónè","Thing"
"zèɛ̀","red"
"Bón-zèɛ̀","A red thing"
"Bónè","Thing"
"kṹṹ","dead"
"Bón-kṹṹ","A dead thing"
"Dã́ã̀","Drink"
"zèɛ̀","white"
"Dã́ã̀-zèɛ̀",
"Dàá","Stick"
"léé","small"
"Dà-léé","A dry twig"
"éngɛ́","Body"
"túò","bitter"
"Én-túò","Laziness"
"gbɛ́rɪ̀","Leg"
"vèlàá","good"
"gbɛ́-vèlàá","Good luck"
"kṍɔ͂́","Water"
"sóng","good"
"kɔ̀n-sóng","Holy water"
"Lìbírì","Money"
"pèláá","white"
"Lìbí-pèláá","Cowry"
"Mǎ","Mother"
"bílé","small"
"Mà-bílé","Maternal aunt"
"Néɛ̀","Person"
"pááláá","new"
"Néng-pááláá","A new person"
"Néɛ̀","Person"
"pèláà","white"
"Néng-pèláà","A white person"
"Néɛ̀","Person"
"fàà","bad"
"Nén-fàà","A bad person"
"Dagaare","Translation"
"Néɛ̀","Person"
"lááné","worthless"
"Nén-lááné","a worthless person"
"Néɛ̀","Person"
"sóng","good"
"Nén-sóng","a good person"
"Néɛ̀","Person"
"sɔ́gláá","black"
"Nén-sɔ́gláá","a black person"
"Nóɔ́rè","Mouth"
"làng","together"
"nɔ́-làng","unity"
"Núbìŕ","Finger"
"léé","small"
"Nú-bìléé","Little finger"
"Núbìrì","Finger"
"wóg̀","long"
"Núbi-wóg̀","long-fingered-ness (thief)"
"Póɔ̀","Stomach"
"vèláà","good"
"Pò-vèláá","sincere"
"Súúrí","Anger"
"tólóng","hot"
"Sù-tólóng","Quick tempered"
"Nímírì","Eye"
"zèɛ́","red"
"Nímí-zèɛ́","seriousness"
"Nímírì","Eye"
"tɔ́ɔ́ré","far"
"Nímí-tɔ́ɔ́ré","ahead"
"Nímírì","Eye"
"tììrúng","bitter"
"Nímí-tììrúng","wickedness"
"Nóɔ̀dáá","Fowl male"
"léé","small"
"nɔ́dà-léé","A cockerel"
"Nóɔ́rè","Mouth"
"kpéɛ́né","hard"
"nɔ́↓-kpéɛ́né","Argumentative"
"Nû","Hand"
"dɛ́gérè","dirty"
"Nú-dɛ́gérè","Dirty hands"
"Nóɔ̀","Fowl"
"léé","small"
"nɔ̀-léé","A chick"
"Nú","Hand"
"láámá","idle"
"Nú-láámá","Idleness, laziness, boredom"
"kɔ̀kɔ̀láà","Cat"
"wéɛ́mɛ́","Bush/wild"
"kɔ̀kɔ́l-wéɛ́mɛ́","Wild cat"
"ko͂̀ɔ͂́","water"
"mááróng","cold"
"kɔ̀ng-mááróng","Cold water"
"ko͂̀ɔ͂́","water"
"míírûng","sour"
"kɔ̀ng-míírûng","Sour water, mostly used in preparing T.Z"
"ko͂̀ɔ͂́","water"
"zùlúng","deep"
"kɔ̀n-zùlúng","Deep water"
"kúrí","metal"
"zèɛ́","red"
"Kùrì-zèɛ́","Brass/copper (metal)"
"Mírì","rope"
"pèlàá","white"
"Mí-pélàá","White rope"
"Mírì","rope"
"zèɛ́","red"
"Mí-zèɛ́","Red rope"
"móɔ́","grass"
"máárà","fresh"
"mɔ̀máárà","Fresh grass"
"nááb↓ó","cow"
"léé","small"
"Náá-léé","Calf"
"Dagaare","Translation"
"nɛ́nè","meat"
"káráá","raw"
"nɛ́nkáráá","Raw meat"
"ngmáángà","monkey"
"zèɛ̀","red"
"Ngmàà-zèɛ̀","a type of monkey (tone change)"
"ngmánéé","dove"
"zèɛ́","red"
"Ngmǎn-zèɛ́","a type of dove (tone change)"
"pɔ́gé","woman"
"póɔ́","pregnant"
"pɔ̀g-póɔ́","Pregnant (tonal change)"
"Sã̀ã̀","father"
"bìlé","small"
"Sã̀ã̀-bílé","Paternal uncle"
"sáábó","Type of food"
"dógè","pot"
"Sàà-dógè","Cooking pot"
"sáábó","Type of food"
"tólóng","hot"
"sàà-tólóng","Hot T.Z (tone change)"
"téngɛ́","ground"
"tólóng","hot"
"Tén-tólóng","Hot ground/dry season"
"tɛ́né","soil"
"pèɛ̀lońg","whiteness"
"tɛ́m-pèlàá","ash"
"Bìé","Child"
"dɔ́ɔ́","man"
"Bɛ́ngɛ̀","Beans"
"dá↓á","stick"
"Báá","Dog"
"zẽ̀e͂́","blood"
"Bɛ́ngɛ̀","Beans"
"zɔ́ǹg","flour"
"Bóɔ́","Goat"
"dáá","male"
"Bóndìríì","Food"
"zíé","place"
"Bónè","Thing"
"nyáà","chest"
"Dã́ã̀","Drink"
"dìé","room"
"Dã́ã̀","Drink"
"dógè","pot"
"Dã́ã̀","Drink"
"nyúúrò","one who drinks"
"Dàá","Tree"
"pɛ́gé","peels"
"Dɔ́ɔ́","Man"
"dã́ã̀","drink"
"Dúórùng","Urine"
"láá","bowl"
"Góɔ̀","Thorn"
"tèɛ́","tree"
"Gánè","Book"
"bɔ̀ng","know"
"kõ̀ɔ̃́","Water"
"nóɔ́rè","mouth"
"Bì-dɔ́ɔ́","Son"
"Bɛ́n- dá↓á","Beanstalk"
"Bà-zẽ̀ẽ́","Blood of a dog"
"Bɛ́n-zɔ́ǹg","Beans flour"
"Bò-dáá","Male goat"
"Bóndì-zíé","Restaurant"
"Bón-nyáà","Chest of something"
"Dã́ã̀-dìé","Pito house"
"Dã́ã́-dógè","Pito pot"
"Dã́ã́-nyúúrò","An alcoholic"
"Dà-pɛ́gé","Bark of tree"
"Dɔ̀ɔ̀-dã́ã̀","A male child born on the day pito has been brewed in the house"
"Dúórùng-láá","A chamberpot"
"gɔ̂-tèɛ́","A tree with thorns"
"Gán-bɔ́gnɔ́","Literate"
"kɔ̀n-nóɔ́rè","Coastline, beach"
"dagaare","translation"
"Màléfà","Gun"
"nã̀ã́","Chief"
"Nímírì","Eye"
"Nóɔ̀","Fowl"
"Nû","Hand"
"Nû","Hand"
"Ngméǹ","God"
"tèɛ̀né","Chin"
"Nángè","Poverty"
"Nóɔ̀","Fowl"
"Nû","Hand"
"Sàkúúrì","School"
"Zû","Head"
"bírì","seed"
"bíé","child"
"láá","bowl"
"nɛ́nè","meat"
"pùòrí","back"
"póɔ́","stomach"
"dìé","house"
"kɔ́ɔ́lóng","hair"
"dááná","person"
"dáá","male"
"kúóngáá","dry"
"bìé","child"
"pílí","mat"
"Màléfà-bírì","bullet"
"Nà-bíé","A prince"
"Nímí-láá","Eye socket"
"nɔ́-nɛ́nè","chicken"
"Nú- pùòrí","Back of hand"
"Nú-póɔ́","Palm of hand"
"Ngmén-dìé","Church (tone change)"
"tẽ̀ɛ̀-kɔ́ɔ́lóng","beard"
"Nán-dááná","Poor person"
"nɔ́-dáá","A roaster"
"Nú-kúóngáá","Dry hand"
"Sàkú-bìé","Student"
"Zú-pílí","Hat (change in tone)"
"dagaare","translation"
"Màléfà","Gun"
"bírì","seed"
"Màléfà-bírì","Bullet"
"nã̀ã́","Chief"
"bíé","child"
"Nà-bíé","A prince"
"Nímírì","Eye"
"láá","bowl"
"Nímí-láá","Eye socket"
"Nóɔ̀","Fowl"
"nɛ́nè","meat"
"Nɔ́-nɛ́nè","Chicken"
"Nû","Hand"
"pùòrí","back"
"Nú-pùòrí","Back of hand"
"Nû","Hand"
"póɔ́","stomach"
"Nú-póɔ́","Palm of hand"
"Ngméǹ","God"
"dìé","house"
"Ngmén-dìé","Church (tone change)"
"tèɛ̀né","Chin"
"kɔ́ɔ́lóng","hair"
"Tẽ̀ɛ̀-kɔ́ɔ́lóng","Beard"
"Nángè","Poverty"
"dááná","person"
"Nán-dááná","Poor person"
"Nóɔ̀","Fowl"
"dáá","male"
"Nɔ́-dáá","A roaster"
"Nû","Hand"
"kúóngáá","dry"
"Nú-kúóngáá","Dry hand"
"Sàkúúrì","School"
"bìé","child"
"Sàkú-bìé","Student"
"Zû","Head"
"pílí","mat"
"Zú-pílí","Hat (change in tone)"
"Nímírì","Eye"
"kyááné","mirrors"
"Nímí-kyááné","spectacles"
"Kúrí","Metal"
"wìrí","horse"
"Kúrí-wìrí","Bicycle"
"kálì","dawadawa"
"bírì","seed"
"Kál-bírì","Dawadawa seed"
"kámááné","Corn"
"bírì","seed"
"Kámáá-bírì","Corn seed"
"kámááné","Corn"
"dàá","Stick/stalk"
"Kámáá-dàá","Corn stalk"
"Kùòrí","Funeral"
"Mààlè","Make/perform"
"Kò-mààlè","Funeral rights"
"Kùòrí","Funeral"
"mááróng","Fresh"
"Kò-mááróng","Funeral where the corpse isn’t buried yet"
"Kùòrí","Funeral"
"Tólóng","hot"
"Kò-tólóng","Early part of mourning at a funeral"
"kɔ̀kɔ́rè","Throat"
"lɛ̀ré","bead"
"Kɔ̀kɔ́-lɛ̀ré","Necklace"
"kɔ̀kɔ̀láà","Cat"
"wóɔ́","bag"
"Kɔ̀kɔ̌l-wóɔ́","Bag made from cat hide"
"ko͂̀ɔ͂́","water"
"dógè","pot"
"Kɔ̌n-dógè","Water pot"
"ko͂̀ɔ͂́","water"
"zíé","place"
"Kɔ̌ndú-gzíé","Swimming pool"
"ko͂̀ɔ͂́","water"
"náng","Scarcity/poverty"
"Kɔ́n-náng","Water scarcity"
"ko͂̀ɔ͂́","water"
"nóɔ́ré","mouth"
"Kɔ̀n-nóɔ́ré","Beach/river bank"
"ko͂̀ɔ͂́","water"
"nyúúrì","Drinking(N)"
"Kɔ́n-nyúúrì","Drinking water"
"Kùòrí","metal"
"dàá","stick"
"Kùrì-dàá","Iron bar"
"kúsírì","stone"
"bírì","seed"
"Kúsí-bírì","Pebble"
"kṹṹ","corpse"
"bògí","hole"
"Kṹṹ-bògí","Grave"
"kpéɛ́ó","living"
"zíé","place"
"Kpɛ̀-zíé","Place of abode (tone change)"
"Lìbírì","money"
"bìngzíé","Keeping place"
"Lìbí-bìngzíé","Bank"
"Lìbírì","money"
"bùgó","granary"
"Lìbí-bùgó","A money safe"
dagaare,translation
Lìbírì,money
dááná,owner
Lìbí-dááná,A rich person
Lìbírì,money
zɔ́ng,flour
Lìbí-zɔ́ng,Gold dust
Máné,rubber
tèɛ́,tree
Mǎn-tèɛ́,Rubber tree (plant)(tone change)
móɔ́,grass
náábó,cow
mɔ̀-náábó,Bush cow
móɔ́,grass
néɛ̀,person
mɔ̀-néɛ́,Bush person
bíní,dung
Náá-bíní,Cow dung
gánè,hide
Náá-gánè,Cowhide
nyánggáà,female
Náá-nyánggáà,cow
nɛ́nè,meat
Náá-nɛ́nè,Beef/cow meat
náásáálá,White-person
téngɛ́,land
nààsààl-téngɛ́,abroad
Nàà,Chief
yírì,house
Nàà-yírì,palace
dagaare,translation
zàgé,pen
Náá-zàgé,Cattle pen
Nã̀ã́,chief
kógí,chair
Nà-kógí,Throne 
náásáálá,White-person
kúúrì,hoe
nàsà-kúúrí,plough
nɛ́nè,meat
kã́ã̀,Oil/fat
nɛ́ng-kã́ã̀,Fatty meat
nɛ́nè,meat
kóɔ́rɔ́,seller
nɛ́ng-kóórɔ́,butcher
nímírì,eye
bírì,seed
Nímí-bírì,Pupil of eye
nímírì,eye
gánè,skin
Nímí-gánè,eyelid
nímírì,eye
kɔ́ɔ́lóng,hair
Nímí-kɔ́ɔ́lóng,eyelash
Ngmáràá,moon
bírì,seed
Ngmáré-bírì,star
póɔ́,stomach
yíráá,removal
pò-yíráá,miscarriage
dagaare,translation
pɔ́gé,woman
dɛ́rɛ́,One who takes
pɔ̀gè-dérɛ́,Bride-groom
pɔ́gé,woman
dɔ̀gèrɔ́,One who has given birth
pɔ̀gè-dɔ̀gèrɔ́,A woman who has just given birth
sàà,rain
bírì,seed
Sà-bírì,Rain drop
sálémá,gold
bógì,hole
Sàlèng-bògí,goldmine
sálémá,gold
dógé,pot
Sàlèng-dògè,Traditional treasury
sálémá,gold
kúúrí,stone
Sàlèng-kúúrí,pearl
sánè,debt
dááná,owner
Sán-dááná,creditor
sánè,debt
díré,One who takes
Sán-díré,debtor
sébírì,bee
bògí,hole
Sé-bògí,beehive
séérè,honey
núúléé,bird
Sé-núúléé,Honey bird (type of bird)
sɛ́gé,writing
bírì,seed
sɛ́gé-bírì,alphabet
tẽ̀e͂́,medicine
kõ̀ɔ͂́,water
tẽ̀e͂́kõ̀ɔ͂́,Liquid medicine
tɔ̀bɔ̀,tobacco
váà,leaf
tɔ̀ɔ̀-váà,Tobacco leaf
tɔ̀bɔ̀,tobacco
zɔ̀ng,flour
tɔ̀ɔ̀-zɔ̀ng,powedered tobacco
Wìrí,horse
kógí,chair
Wìrì-kógí,Horse saddle
Wìrí,horse
zóóré,tail
Wìrì-zóóré,Horsetail
dagaare,translation
Bóndìríì,Food
sã̀ã̀,waste
Bóndì-sã̀ã̀,Food wastage
Bóndìríì,Food
máálì,make
Bóndí-máál,The act of cooking
Nímírì,Eye
yúò,open
Nímí-yúò,smartness
ko͂̀ɔ͂́,water
sã̀ã̀,waste
kɔ̀n-sã̀ã̀,Water wastage
Lìbírì,money
bɔ́,Search/look
Líbí-bɔ́,Quest for money
Lìbírì,money
dì,Spend/eat
Líbí-dì,act of spending money
nɛ́nè,meat
kúóngáá,dry
nɛng-kúóngáá,Smoked meat
pɔ́gé,woman
dê,take
pɔ̀gè-dê,Marriage(change in tone)
sánè,debt
yɔ́ɔ́,pay
sán-yɔ́ɔ,salary
"fò ángsómá","Good afternoon"
"fò gááó bé sóng?","has the sun reached you?"
"O béé sóng","Yes, the sun has reached me"
"N kͻ́ͻ́ré là fó nyááó fò yiri bé lá sóng?","Where are you going to? Are you traveling?"
"O bèlá sóng","Yes, I am traveling"
"Yèng lá ká fó wà tàllà gέrέ?","Will you return today?"
"N gέrέ lá ká ń kpáárè kpòló","No, I will return tomorrow"
"N mèǹg gέrέ lá kóláá","Safe journey"
"Fò ngménáá","Thank you"
"dagaare","translation"
"Fò zìmááné","Good evening"
"Zì̀é máángέέ","Good evening"
"Yéng lá ká fó yí wààná?","Where are you coming from?"
"Ánkáráá lá ká ñ yí wààná","I am coming from Accra"
"Fò sórì?","How was the journey?"
"Ò bé lá sóng","Fine"
"Yèng lá ká fó dé́ὲ wà tàllà gborͻ̀gborͻ̀ lέ gέrέ?","Where are you rushing to?"
"Ǹ wà gέrέ ka N de lͻ̀ͻ̀rè àgàà Wà","I am on my way to catch a bus for Wa."
"Fò ná kyéng sóng. Kyέ fó tͻ̀ͻ̀ wà kͻ̀ͻ̀rͻ̀","Safe journey. But please do not keep long."
"Tόὸ, bárká, kyέ Ǹ kòng kͻ̀ͻ̀ré. Tέέè léé kàngá lá ká N gὲrέká Ñ tè è","O.k. thanks, I will not keep long. I am only going to sit for a ‘small exam’ {In some cases Dagaaba play down on the exigency of the situation}"
"Ngméǹ nà sóng","May God bless [Good luck]"
"Tόὸ, púóràá bé bè lá.","O.k. thanks."
"Dagaare","English"
"Dɛ̀rpɔ́gé, ká yɛ̀ wólóngwólóng wɛ́?","How is the difficult moment?"
"wólóngwólóng lá, kà yɛ̀ mèng béɛ́róó?","It is indeed difficult, and follow-up?"
"À béé sóng. Kyɛ́ ká fò nyɔ́gé fó mèngɛ́: à wáá túó kyɛ́ tè bá sò á fángá.","It is fine. But pull yourself together: it is bitter but it is beyond us."
"Tɔ̀ɔ̀. Bàrká","Alright. Thank you"
"Áyór, ká à bá vòbá bé sóng?","(upon returning from a funeral), how are the living?"
"Bá bèé sóng.","They are fine."
"N dɔ́ɔ́ Zìémá, nè fò gɔ́mbéráá wɛ́?","My friend Ziema, how be the sleeplessness?"
"Hmm, gɔ́mbéráá là. Ká á yìdèmé bé sóng?","It’s indeed sleeplessness. How is the family?"
"Bá béé sóng. Ngmén ná pààlè fò lààféɛ́.","They are fine. May God grant you healing."
"Kà á è lɛ́.","May it be so."
"Bàgbɛ́rè, nè fò zúnúò!","Happy fortune!"
"Zúnúò là, n yɔ́ɔ́. Kà á bíírí wááɛ̀ mááróng?","It’s indeed a fortune. How’re the children?"
"Bà wááɛ̀ mááróng. Kà á bíé bàà sóng á wá fáá té.","They’re fine. May the child grow well and save us."
"Àméénà","Amen"
"Oo, nénséɛ̀ béé nénsààlá?","Oo, a ghost or a human?"
"Màà nàà sòòrɔ́ fò béé?","I should rather be asking you so or?"
"Té sáng wɛ̀!","Long time!"
"Sáng lá. Fò mɔ̀ɔ̀ àgé yí là à té Gááná ngá póɔ́ béé?","It’s really been long. Have you flown outside this our Ghana?"
"Yèng páng! Té zà̀a bè á kyɛ́ òò n dɔ́ɔ́.","For where! We are all here oo my friend."
"Ká lɛ̀ fò sèrèng bàng là kpéɛ̀bó.","Then, you have mastered how to stay here."
"Àná bérááyí bà séɛ̀ lɔ́gɔ́ yíèé?","Well os being missed not better than being fed up with?"
"Ànèng séɛ̀ éng. (Lá ká à dó (lkd) )","That’s better really better. (Laugh out loud (lol) )"
"Tèntͻ́ráá gbèlèng yénì","1 a.m."
"Tèntͻ́ráá gbèllááyì","2 a.m."
"Tèntͻ́ráá gbèlláátà","3 a.m."
"bágúó gbèlláánáárè","4 a.m."
"bágúó gbèlláánúú","5 a.m."
"bágúó gbèllááyòͻ̀ó","6 a.m."
"bágúó gbèllááyͻ̀pòì","7 a.m."
"bágúó gbèllááníì","8 a.m."
"bágúó gbèllááwáé","9 a.m."
"ngménáá gbèlèngpíé","10 a.m."
"ngménáá gbèlèngpíé né yénì","11 a.m."
"ngménáá gbèlèngpíé né áyì","12 noon"
"ngménáá gbèlèng yénì","1 p.m."
"ngménáá gbèlláàyì","2 p.m."
"ngménáá gbèlláàtà","3 p.m."
"zìmááné gbèlláànáárè","4 p.m."
"zìmááné gbèlláànúú","5 p.m."
"zìmááné gbèlláàyòͻ̀ó","6 p.m."
"zìmááné gbèlláàyͻ̀pòì","7 p.m."
"zìmááné gbèlláàníì","8 p.m."
"zìmááné gbèlláàwáé","9 p.m."
